note_num,start,end,name
57,148.5,149.0,A
57,152.0,153.0,A
57,154.5,155.0,A
57,156.5,157.0,A
57,159.5,160.0,A
57,170.0,171.5,A
57,175.0,175.5,A
57,185.0,185.5,A
57,189.75,190.0,A
59,1.0,3.0,B
59,19.5,19.75,B
59,22.0,24.0,B
59,25.0,27.0,B
59,29.5,30.0,B
59,30.5,31.0,B
59,34.5,35.0,B
59,40.0,41.0,B
59,49.0,51.0,B
59,67.5,67.75,B
59,70.0,72.0,B
59,73.0,75.0,B
59,77.5,78.0,B
59,78.5,79.0,B
59,82.5,83.0,B
59,88.0,89.0,B
59,99.0,100.5,B
59,101.0,102.0,B
59,103.5,104.0,B
59,105.0,106.5,B
59,113.5,114.0,B
59,136.5,137.0,B
59,139.5,140.0,B
59,141.5,141.75,B
59,142.0,144.0,B
59,147.0,148.5,B
59,149.0,150.0,B
59,151.5,152.0,B
59,153.0,154.5,B
59,161.5,162.0,B
59,184.5,185.0,B
59,187.5,188.0,B
59,189.5,189.75,B
59,190.0,192.0,B
60,18.5,19.5,C
60,66.5,67.5,C
60,98.0,99.0,C
60,99.5,100.0,C
60,102.0,103.5,C
60,136.0,136.5,C
60,141.25,141.5,C
60,146.0,147.0,C
60,147.5,148.0,C
60,150.0,151.5,C
60,184.0,184.5,C
60,189.25,189.5,C
61,8.0,9.0,C#
61,33.0,33.5,C#
61,56.0,57.0,C#
61,81.0,81.5,C#
62,2.0,3.0,D
62,5.0,6.0,D
62,10.5,12.0,D
62,32.5,33.0,D
62,33.5,34.0,D
62,38.0,39.0,D
62,47.0,48.0,D
62,50.0,51.0,D
62,53.0,54.0,D
62,58.5,60.0,D
62,80.5,81.0,D
62,81.5,82.0,D
62,86.0,87.0,D
62,95.0,96.0,D
62,96.0,98.0,D
62,100.0,102.0,D
62,133.5,134.25,D
62,140.0,140.5,D
62,142.25,142.5,D
62,144.0,146.0,D
62,148.0,150.0,D
62,181.5,182.25,D
62,188.0,188.5,D
62,190.25,190.5,D
63,105.0,105.5,D#
63,153.0,153.5,D#
64,9.75,10.0,E
64,10.0,10.5,E
64,26.0,27.0,E
64,31.0,32.5,E
64,34.0,36.0,E
64,40.0,40.5,E
64,41.0,42.0,E
64,43.0,43.75,E
64,57.75,58.0,E
64,58.0,58.5,E
64,74.0,75.0,E
64,79.0,80.5,E
64,82.0,84.0,E
64,88.0,88.5,E
64,89.0,90.0,E
64,91.0,91.75,E
64,96.5,97.0,E
64,102.5,103.0,E
64,104.5,105.0,E
64,105.5,106.0,E
64,113.75,114.0,E
64,127.5,128.25,E
64,144.5,145.0,E
64,150.5,151.0,E
64,152.5,153.0,E
64,153.5,154.0,E
64,161.75,162.0,E
64,175.5,176.25,E
66,6.133333333333334,6.247916666666667,F#
66,7.0,7.13125,F#
66,8.5,8.75,F#
66,9.25,9.5,F#
66,9.625,9.75,F#
66,21.5,22.0,F#
66,22.0,22.5,F#
66,39.75,40.0,F#
66,42.0,43.0,F#
66,43.75,44.0,F#
66,46.0,48.0,F#
66,54.13333333333333,54.24791666666667,F#
66,55.0,55.13125,F#
66,56.5,56.75,F#
66,57.25,57.5,F#
66,57.625,57.75,F#
66,69.5,70.0,F#
66,70.0,70.5,F#
66,87.75,88.0,F#
66,90.0,91.0,F#
66,91.75,92.0,F#
66,94.0,96.0,F#
66,97.0,99.0,F#
66,104.0,104.5,F#
66,106.0,108.0,F#
66,113.5,113.75,F#
66,114.0,115.5,F#
66,129.0,130.0,F#
66,130.5,132.0,F#
66,140.75,141.0,F#
66,142.75,143.0,F#
66,143.0,143.5,F#
66,145.0,147.0,F#
66,152.0,152.5,F#
66,154.0,156.0,F#
66,161.5,161.75,F#
66,162.0,163.5,F#
66,177.0,178.0,F#
66,178.5,180.0,F#
66,188.75,189.0,F#
66,190.75,191.0,F#
66,191.0,191.5,F#
67,6.0,6.133333333333334,G
67,6.247916666666667,7.0,G
67,7.127083333333333,7.252083333333333,G
67,7.375,7.49375,G
67,7.622916666666667,7.74375,G
67,7.870833333333334,8.002083333333333,G
67,8.122916666666667,8.247916666666667,G
67,8.370833333333334,8.5,G
67,8.75,9.0,G
67,9.125,9.25,G
67,9.5,9.625,G
67,21.125,21.5,G
67,22.5,24.0,G
67,30.0,31.0,G
67,39.5,39.75,G
67,44.0,46.0,G
67,54.0,54.13333333333333,G
67,54.24791666666667,55.0,G
67,55.12708333333333,55.25208333333333,G
67,55.375,55.49375,G
67,55.62291666666667,55.74375,G
67,55.87083333333333,56.00208333333333,G
67,56.12291666666667,56.24791666666667,G
67,56.37083333333333,56.5,G
67,56.75,57.0,G
67,57.125,57.25,G
67,57.5,57.625,G
67,69.125,69.5,G
67,70.5,72.0,G
67,78.0,79.0,G
67,87.5,87.75,G
67,92.0,94.0,G
67,100.5,101.5,G
67,103.0,104.0,G
67,113.25,113.5,G
67,118.0,120.0,G
67,124.5,125.5,G
67,128.75,129.0,G
67,132.0,132.5,G
67,133.25,133.5,G
67,133.75,134.0,G
67,134.25,136.0,G
67,136.5,137.25,G
67,139.75,140.0,G
67,140.5,140.75,G
67,141.0,142.25,G
67,142.5,142.75,G
67,143.5,144.0,G
67,148.5,149.5,G
67,151.0,152.0,G
67,161.25,161.5,G
67,166.0,168.0,G
67,172.5,173.5,G
67,176.75,177.0,G
67,180.0,180.5,G
67,181.25,181.5,G
67,181.75,182.0,G
67,182.25,184.0,G
67,184.5,185.25,G
67,187.75,188.0,G
67,188.5,188.75,G
67,189.0,190.25,G
67,190.5,190.75,G
67,191.5,192.0,G
69,7.25,7.375,A
69,7.502083333333333,7.622916666666667,A
69,7.75,7.8875,A
69,7.997916666666667,8.129166666666666,A
69,8.24375,8.379166666666666,A
69,9.0,9.125,A
69,16.25,17.5,A
69,27.75,30.0,A
69,37.5,38.625,A
69,39.25,39.5,A
69,42.75,43.0,A
69,55.25,55.375,A
69,55.50208333333333,55.62291666666667,A
69,55.75,55.8875,A
69,55.99791666666667,56.12916666666667,A
69,56.24375,56.37916666666667,A
69,57.0,57.125,A
69,64.25,65.5,A
69,75.75,78.0,A
69,85.5,86.625,A
69,87.25,87.5,A
69,90.75,91.0,A
69,96.0,97.0,A
69,97.0,98.25,A
69,98.25,98.375,A
